GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 60061                LISTERINE WHIT BRANQ Y FORT 12X236ML                                   LISTERINE                      CHC                            7891010960315     12 N     20160223T1907  A      
7737001260012 60062                LIST WHIT BRANQ Y FORT 12X473ML                                        LISTERINE                      CHC                            7891010960346     12 N     20160223T1907  A      
7737001260012 6009200              NEUTROGENA NEUTAR/GEL 130ML                                            NEUTROGENA                     BEAUTY                           70501092002     24 N     20121016T1633  A      
7737001260012 6009448              BAÑO LIQUIDO GLICERINA 6X200                                           JOHNSON'S BABY                 BABY TOILETRIES                7891010005757      6 N     20080516T0955  A      
7737001260012 60196                J'S BABY SHAMPOO GOTAS DE BRILLO  200ML                                JOHNSON´S BABY                 BABY CARE                      7790010601962     12 N     20150731T1202  A      
7737001260012 60197                J'S BABY SHAMPOO GOTAS DE BRILLO 400ML                                 JOHNSON'S BABY                 BABY CARE                      7790010601979     12 N     20151208T1229  A      
7737001260012 60200                J´S BABY ACOND GOTAS DE BRILLO 200ML                                   JOHNSON´S BABY                 BABY CARE                      7790010602006     12 N     20150731T1202  A      
7737001260012 6021597              ROC RET.VITAMINAS A+C+E 30ML                                           ROC                            BEAUTY                         3574660060539     42 N     20080516T0955  A      
7737001260012 60392                ULTRA LIGHT HID. P.COMB + CONTORNO OJO                                 NEUTROGENA                     BEAUTY                         7730198005343      8 N     20140925T1443  A      
7737001260012 60397                FRESH FOAMING CLEAN+ALCOHOL FREE TONER                                 NEUTROGENA                     BEAUTY                         7730198005367      6 N     20140925T1443  A      
7737001260012 60414                JBABY SPRAY  GOTAS DE BRILLO 24X200ML                                  JOHNSON'S BABY                 BABY CARE                      7702031604143     24 N     20150731T1202  A      
7737001260012 60458                NTG PROT SUN FRESH AERO FPS30 6X180ML                                  NEUTROGENA                     BEAUTY                         7891010507169      6 N     20161114T1117  A      
7737001260012 60496                ABS INT OB MINI 40X10UN                                                OB                             SANPRO INTERNAL                7891010010515     40 N     20160223T1907  A      
7737001260012 60497                OB TAMP MEDIO HELIX 40X10                                              OB                             SANPRO INTERNAL                7891010010546     40 N     20160223T1907  A      
7737001260012 60498                OB TAMPONES SUPER HELIX 40X10                                          OB                             WH                             7891010010577     40 N     20160223T1907  A      
7737001260012 60500                OB MEDIO 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010560     20 N     20161114T1117  A      
7737001260012 60501                OB SUPER 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010591     20 N     20160223T1907  A      
7737001260012 60520                NTG ULTRA GENTLE GEL LIMP FACIAL 6X354ML                                                              BEAUTY                         7891010599614      6 N     20160818T1122  A      
7737001260012 60606                SL ULTRAFINA MAX SUAVE 12X32UN                                         SIEMPRE LIBRE                  ALL OTH WOMEN'S HEALTH CONSUME 7790010606066     12 N     20160524T1227  A      
7737001260012 60713                ROM SL NOT MAX SUAVE L16PG14 12X16UN                                   SIEMPRE LIBRE                  ALL OTH WOMEN'S HEALTH CONSUME 7891010607135     12 N     20160524T1227  A      
7737001260012 60830                J'S B TOALLITAS HUMED EXTR CUID 24X48UN                                JOHNSON´S BABY                 BABY CARE                      7891010568757     24 N     20150212T1546  A      
7737001260012 60831                J'S B TOAL HUMEDAS DULCES SUENOS 24X48UN                               JOHNSON'S BABY                 BABY TOILETRIES                7891010568764     24 N     20160223T1907  A      
7737001260012 60832                J'S B LENCOS UMED BABYREC NACIDO 24X48UN                               JOHNSON´S BABY                 BABY CARE                      7891010568771     24 N     20141128T1047  A      
7737001260012 60950                OB TAMPONES PQ PROCOMFORT 40X10UN                                      OB                             SANPRO INTERNAL                7891010952969     40 N     20160223T1907  A      
7737001260012 60951                OB TAMPONES MED PROCOMFORT 40X10UN                                     OB                             SANPRO INTERNAL                7891010952952     40 N     20160223T1907  A      
7737001260012 60952                OB TAMPONES SUP PROCOMFORT 40X10UN                                     OB                             CHC                            7891010952976     40 N     20160223T1907  A      
7737001260012 61105                NEU DEEP CLEAN JABON 12X80G                                            NEUTROGENA                     BEAUTY                         7891010099725     12 N     20160223T1907  A      
7737001260012 61152                NTG ULT GENTLE TON S/ALCOOL LIQ 6X200ML                                NEUTROGENA                     BEAUTY                         7891010611521      6 N     20160818T1122  A      
7737001260012 61266                JB CLIQ ANTES DE DORMIR 12X200                                                                        BABY CARE                      7702031036746     12 N     20160818T1122  A      
7737001260012 61484                SL NORMAL NUEVA MAX SUAVE CON ALAS 48X8                                SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010614849     48 N     20160223T1907  A      
7737001260012 61485                SL NORMAL NUEVA MAX SUAVE CON ALAS 24X16                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010614856     24 N     20160223T1907  A      
7737001260012 61673                CF TODOS LOS DIAS 60X20U                                               CAREFREE                       SANPRO INTERMENSTRUAL          7790010616737     60 N     20160223T1907  A      
7737001260012 61674                CF TODOS LOS DIAS 30X60U                                               CAREFREE                       SANPRO INTERMENSTRUAL          7790010616744     30 N     20160223T1907  A      
7737001260012 61675                CF TODOS LOS DIAS 20X100U                                              CAREFREE                       SANPRO INTERMENSTRUAL          7790010616751     20 N     20160223T1907  A      
7737001260012 61676                CAREFREE TANGA TODOS LOS DIAS X 20                                     CAREFREE                       ALL OTH WOMEN'S HEALTH CONSUME 7790010616768     30 N     20160223T1907  A      
7737001260012 61677                CF TODOS LOS DIAS TANGA X 60                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010616775     30 N     20160212T1411  A      
7737001260012 61678                CF PROTECCION 60X20U                                                   CAREFREE                       SANPRO INTERMENSTRUAL          7790010616782     60 N     20160223T1907  A      
7737001260012 61679                CF PROTECCION 30X60U                                                   CAREFREE                       SANPRO INTERMENSTRUAL          7790010616799     30 N     20160223T1907  A      
7737001260012 61681                CF PROTECCION LARGO 30X60U                                             CAREFREE                       SANPRO INTERMENSTRUAL          7790010616812     30 N     20160223T1907  A      
7737001260012 61682                CF PROTECCION COMPACT 60X20U                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010616829     60 N     20160223T1907  A      
7737001260012 61683                CF PROTECCION COMPACT 20X80U                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010616836     20 N     20160223T1907  A      
7737001260012 61740                2S BABY SAB BARRA HORA DO SONO 96X83G                                  JOHNSON'S BABY                 BABY TOILETRIES                7891010617400     96 N     20160223T1907  A      
7737001260012 61742                JS BABY SABONETE BARRA REGULAR 96X83G                                  JOHNSON'S BABY                 BABY TOILETRIES                7891010617424     96 N     20160223T1907  A      
7737001260012 61743                JS BABY SAB BARRA HORA DE BRINCAR 96X83G                               JOHNSON'S BABY                 BABY TOILETRIES                7891010617431     96 N     20160223T1907  A      
7737001260012 61750                MAKEUP REMOVER CLNG TWL REFILL                                         NEUTROGENA                     BEAUTY                           70501051054      6 N     20160223T1907  A      
7737001260012 61752                HAND CREAM 2 OZ. FRAGANCE FREE                                         NEUTROGENA                     BEAUTY                           70501013007      6 N     20160223T1907  A      
7737001260012 61788                NEUTROGENA DEEP CLEAN TOALLITAS DEMAQUIL                               NEUTROGENA                     BEAUTY                           70501151259      6 N     20160223T1907  A      
7737001260012 61805                LISTERINE COOL 24HS 2X DIA  12X250ML                                   LISTERINE                      CHC                            7891010618056     12 N     20160223T1907  A      
7737001260012 61807                LISTERINE COOL MINT LL500 PG350                                        LISTERINE                      CHC                            7891010618070     12 N     20160223T1907  A      
7737001260012 61808                LISTERINE FRESH 24HS 2X DIA 12X250ML                                   LISTERINE                      CHC                            7891010618087     12 N     20160223T1907  A      
7737001260012 61809                LISTERINE FRESH 24HS 2X DIA  12X500ML                                  LISTERINE                      CHC                            7891010618094     12 N     20160223T1907  A      
7737001260012 61833                JOHNSONS BODY LOTION GRANADA Y UVA 200 ML                              JOHNSON'S                      BABY CARE                      7891010618339     12 N     20151027T1248  A      
7737001260012 61834                JOHNSON'S BODY LOTION MIEL Y LINAZA 200 ML                             JOHNSON'S                      BABY CARE                      7891010618346     12 N     20151027T1248  A      
7737001260012 61835                JOHNSONS BODY LOTION GRANADA Y UVA 400 ML                              JOHNSON'S                      BABY CARE                      7891010618353     12 N     20151027T1248  A      
7737001260012 61836                JOHNSON'S BODY LOTION MIEL Y LINAZA 400 ML                             JOHNSON'S                      BABY CARE                      7891010618360     12 N     20151027T1248  A      
7737001260012 61940                LISTERINE A. SARRO L. DURACION 12X250ML                                LISTERINE                      CHC                            7891010619404     12 N     20160223T1907  A      
7737001260012 61941                LISTERINE A. SARRO L. DURACION 12X500ML                                LISTERINE                      CHC                            7891010619411     12 N     20160223T1907  A      
7737001260012 61942                LISTERINE TOTAL CON FLUOR 12X250ML                                     LISTERINE                      CHC                            7891010619428     12 N     20160223T1907  A      
7737001260012 61943                LISTERINE TOTAL CON FLUOR 12X500ML                                     LISTERINE                      CHC                            7891010619435     12 N     20160223T1907  A      
7737001260012 61944                LISTERINE ZERO MENTA SUAVE 12X250ML                                    LISTERINE                      CHC                            7891010619442     12 N     20160223T1907  A      
7737001260012 61945                LISTERINE ZERO MENTA SUAVE 12X500ML                                    LISTERINE                      CHC                            7891010619459     12 N     20160223T1907  A      
7737001260012 6210414              MAKEUP REMOVER CLNG TWL REFILL                                         NEUTROGENA                     BEAUTY                           70501051054     12 N     20121012T1232  A      
7737001260012 6210435              HEALTHY SKIN ANTIWRINKLE 1,4OZ                                         NEUTROGENA                     BEAUTY                           70501061107     12 N     20121012T1232  A      
7737001260012 6210440              ACNE SOAP 3,5 OZ.                                                      NEUTROGENA                     BEAUTY                           70501013304     24 N     20080516T0955  A      
7737001260012 6210456              HAND CREAM 2 OZ. FRAGANCE FREE                                         NEUTROGENA                     BEAUTY                           70501013007     24 N     20080516T0955  A      
7737001260012 6210509              O/F EYES MAKE UP REMOVER                                               NEUTROGENA                     BEAUTY                           70501050651     12 N     20080516T0955  A      
7737001260012 6211793              TYLENOL 500 MG                                                         TYLENOL                        OTC OTHER CATEGORIES            300450449054     72 N     20080516T0955  A      
7737001260012 6230087              ACEITE X 200 OFERTA 25% DTO.                                           OFERTAS                        BABY TOILETRIES                7730198002939     12 N     20110916T1124  A      
7737001260012 6230095              SHAMPOO CLASICO 400 X 300                                              JOHNSON'S BABY                 BABY TOILETRIES                7730198003202     12 N     20100517T1015  A      
7737001260012 6230290              BA#O GLIC.HEAD TO TOE 200 -25%                                         OFERTAS                        BABY TOILETRIES                7730198003271      6 N     20110601T1655  A      
7737001260012 6231956              OB MEDIO X 10 OFERTA 3X2                                               OB                             SANPRO INTERNAL                7730198000287     10 N     20131210T1153  A      
7737001260012 6231957              OB SUPER X 10 OFERTA 3X2                                               OB                             SANPRO INTERNAL                7730198000294     10 N     20131210T1153  A      
7737001260012 6232136              COTONETES X 150 + 75 GRATIS                                            OFERTAS                        COTTON SWABS                   7730198001543     18 N     20110916T1124  A      
7737001260012 6232162              SHAMPOO X 200 + JABON X 80                                             OFERTAS                        BABY TOILETRIES                7730198001000     12 N     20080930T1228  A      
7737001260012 6232198              REACH ACCESS MEDIO 2X1                                                 OFERTAS                        ORAL TOOTHBRUSHES              7730198000959      6 N     20080930T1228  A      
7737001260012 6232322              REACH ACCESS DURO 2X1                                                  OFERTAS                        ORAL TOOTHBRUSHES              7730198001536      6 N     20080930T1228  A      
7737001260012 6232330              SHAMPOO MANZ. X 200 + JABON 80                                         OFERTAS                        BABY TOILETRIES                7730198001031     12 N     20080930T1228  A      
7737001260012 6232521              OF.COTONETES LLEVE 75 PAGUE 60                                         OFERTAS                        COTTON SWABS                   7730198002748     60 N     20080516T0955  A      
7737001260012 6232562              OB MEDIO OFERTA 20+10                                                  OB                             SANPRO INTERNAL                7730198002076     30 N     20121012T1232  A      
7737001260012 6232563              OB SUPER OFERTA 20+10                                                  OB                             SANPRO INTERNAL                7730198002083     30 N     20121012T1232  A      
7737001260012 6232597              TALCO + JABON X 80 GRS.                                                OFERTAS                        BABY TOILETRIES                7730198002434     12 N     20080930T1228  A      
7737001260012 6232598              TALCO LAVANDA/MANZ. +JABON X80                                         OFERTAS                        BABY TOILETRIES                7730198002441     10 N     20110916T1124  A      
7737001260012 6234547              OF.CEP.REACH COMFORT CLEAN 2X1                                         REACH                          ORAL CARE                      7730198002854      6 N     20121012T1232  A      
7737001260012 6235015              HILO J&J REACH REGULAR 2 X 1                                           OFERTAS                        ORAL FLOSS                     7730198003578     12 N     20080516T0955  A      
7737001260012 6235036              CAREFREE COMPACT 80 X 60                                               OFERTAS                        SANPRO INTERMENSTRUAL          7730198003738     15 N     20110601T1655  A      
7737001260012 6239700              SHAMPOO MANZANILLA 400 X 300                                           OFERTAS                        BABY TOILETRIES                7730198003219     12 N     20110601T1655  A      
7737001260012 6239896              COLONIA FCA.CARICIA X200 -25%                                          OFERTAS                        BABY TOILETRIES                7730198003301     12 N     20110602T1233  A      
7737001260012 65427                LOCION ANTI-MOSQUITOS  12X100                                          JOHNSON'S BABY                 BABY TOILETRIES                7891010007263     12 N     20160223T1907  A      
7737001260012 65516                BAÑO LIQ.DULCES SUEÑOS 6X200                                           JOHNSON'S BABY                 BABY TOILETRIES                7891010042950     12 N     20160223T1907  A      
7737001260012 65624                COTONETES* CANNISTER 30X150'S                                          JOHNSON'S BABY                 COTTON SWABS                   7891010032937     30 N     20160601T1205  A      
7737001260012 66800                TOAL SL SLI UL MAX SE AL A NA ARG 48X8UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010609108     48 N     20160223T1907  A      
7737001260012 66850                JB CREMA DE ENJUAGUE HP 12X400                                         JOHNSON'S BABY                 JB SHAMPOO                     7790010668507     12 N     20161114T1117  A      
7737001260012 66851                JB ACONDICIONADOR GOLD ORIGINAL 200ML AR                               JOHNSON'S BABY                 BABY CARE                      7790010668514     20 N     20160524T1227  A      
7737001260012 66875                J&J COTONETES 60X75 UNID                                               JOHNSON'S BABY                 COTTON SWABS                   7891010560737     60 N     20160223T1907  A      
7737001260012 66885                SUNDOWN KIDS FPS 60 12X120ML EXP                                       SUNDOWN                        BEAUTY                         7891010518158     12 N     20171010T1123  A      
7737001260012 66906                SL ESPECIAL SUP ABS C ALAS 60X8                                        SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010669061     60 N     20160223T1907  A      
7737001260012 66907                SL ESPECIAL SUP ABS C ALAS 30X16                                       SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010669078     30 N     20160223T1907  A      
7737001260012 66908                SL ESPECIAL ULTRAFINA SUP ABS ALAS 48X8                                SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010669085     48 N     20160223T1907  A      
7737001260012 66924                PACK X 3 JABONES  JBABY  ORIGI X16                                     JOHNSON'S BABY                 BABY CARE                      7702031900542     16 N     20161021T1608  A      
7737001260012 66925                PACK X 3 JABONES  JBABY  HUMEC X16                                     JOHNSON'S BABY                 BABY CARE                      7702031900597     16 N     20161021T1608  A      
7737001260012 66936                CAREFREE TANGA TODOS LOS DIAS X 20                                     CAREFREE                       ALL OTH WOMEN'S HEALTH CONSUME 7790010616768     30 N     20161114T1117  A      
7737001260012 66937                CF TODOS LOS DIAS TANGA X 60                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010616775     30 N     20161114T1117  A      
7737001260012 66974                NTG SUN FRESH FPS30 M EFERV 12X200ML                                   NEUTROGENA                     BEAUTY                         7891010669744     12 N     20161025T1605  A      
7737001260012 66975                NTG SUN FRESH FPS60 MOUSS EFERV 12X200ML                               NEUTROGENA                     BEAUTY                         7891010669751     12 N     20161025T1605  A      
7737001260012 66981                NEUT D CLEAN ESFOL ENERGIZ 6X100G BIL                                  NEUTROGENA                     BEAUTY                         7891010704490      6 N     20161114T1117  A      
7737001260012 68003                JB TALCO MANZAN 24X200G                                                JOHNSON´S BABY                 BABY                           7891010036478     24 N     20160223T1907  A      
7737001260012 68026                JS JABON ADULTO ORGINAL TPACK 12X3X125                                 JOHNSON'S                      JOHNSON'S ADULT                7702031900924     12 N     20151027T1248  A      
7737001260012 68027                JS JABON ADULTO ALOE  TRIPACK 12X3X125                                 JOHNSON'S                      JOHNSON'S ADULT                7702031900955     12 N     20151027T1248  A      
7737001260012 68028                JS JABON ADULTO AVENA TPACK 12X3X125                                   JOHNSON'S                      JOHNSON'S ADULT                7702031900962     12 N     20151027T1248  A      
7737001260012 68056                CF BRISA SIN PERFUME OFERT 12X150                                      CAREFREE                       SANPRO INTERMENSTRUAL          7702031503361     12 N     20160223T1907  A      
7737001260012 68163                SHAMPOO FRAGANCIA PROLONGADA X200ML                                    JOHNSON'S BABY                 BABY TOILETRIES                7790010681636     12 N     20160223T1907  A      
7737001260012 68164                JB SHAMPOO FRAGANCIA PROLONGADA X400ML                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010681643     12 N     20160223T1907  A      
7737001260012 68165                JB ACONDICIONADOR FRAG PROLONGADA X200ML                               JOHNSON'S BABY                 BABY TOILETRIES                7790010681650     12 N     20160223T1907  A      
7737001260012 68166                JB JABÓN LÍQUIDO DULCES SUEÑOS  12X200                                 JOHNSON'S BABY                 JB TOILETRIES                  7790010681667     12 N     20161114T1117  A      
7737001260012 68227                REACH* HILO ESSENTIAL 24X100                                           JOHNSON'S                      ORAL FLOSS                     7891010501105     24 N     20160927T1220  A      
7737001260012 68344                SUNDOWN REG FPS50 STARCK EXP 12X200ML                                  SUNDOWN                        BEAUTY                         7891010518295     12 N     20171010T1123  A      
7737001260012 68346                J'S BABY COLONIA BESITOS 12X100 (MOLDE)                                JOHNSON'S BABY                 BABY TOILETRIES                7790010683463     12 N     20160223T1907  A      
7737001260012 68420                J'S BABY COLONIA DULCES SUEÑOS X 100 ML                                JOHNSON'S BABY                 JB TOILETRIES                  7790010684200     12 N     20161114T1117  A      
7737001260012 68422                J'S BABY COLONIA FRESCA CARICIA X 100 ML                               JOHNSON'S BABY                 JB TOILETRIES                  7790010684224     12 N     20161114T1117  A      
7737001260012 68423                J'S BABY COLONIA FRESCA CARICIA X 200 ML                               JOHNSON'S BABY                 JB TOILETRIES                  7790010684231     12 N     20161114T1117  A      
7737001260012 68455                JB  ACEITE PURO 12 X 200                                               JOHNSON'S BABY                 BABY TOILETRIES                7790010959797     12 N     20160223T1907  A      
7737001260012 68650                SL TANGA C/A 36X8                                                      SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010599269     36 N     20160223T1907  A      
7737001260012 68654                MAKEUP REMOVER CLNG TWL REFILL                                         NEUTROGENA                     BEAUTY                           70501051054      6 N     20161114T1117  A      
7737001260012 68860                NEU DEEP CLEAN 6X150G                                                  NEUTROGENA                     BEAUTY                         7891010009250      6 N     20161114T1117  A      
7737001260012 69193                JB SHAMPOO HIDRAT C ALOE Y VITAMINA E 12X200ML                         JOHNSON'S BABY                 JB SHAMPOO                     7891010580278     12 N     20161114T1117  A      
7737001260012 69208                JB COND HIDR INTENSA 12X200ML EXP                                      JOHNSON'S BABY                 JB SHAMPOO                     7891010580322     12 N     20161114T1117  A      
7737001260012 69211                DESITIN CREAMY 36 X 57 GM EXP                                          DESITIN                        BABY                           7702031927433     36 N     20161114T1117  A      
7737001260012 7.01507e+006         AGAROL VAINILLA X 240 ML CA                                            AGAROL                         OTC GASTRO INTESTINAL          7702134103307     24 N     20161114T1117  A      
7737001260012 7.01721e+006         SINUTAB BEBIDA X 25                                                    SINUTAB                        OTC UPPER RESPIRATORY          7702035372154     12 N     20161114T1117  A      
7737001260012 7.03364e+006         BENADREX JARABE X 150 ML                                               BENADREX                       WW OTC                         7501057005749     24 N     20161114T1117  A      
7737001260012 7.03366e+006         BENADRYL E JARABE X 150 ML                                             BENADRYL                       WW OTC                         7501057005732     24 N     20161114T1117  A      
7737001260012 7.04622e+006         SINUTAB N-S X 12 EC P/COR                                              SINUTAB                        OTC UPPER RESPIRATORY          7702134374202    144 N     20161114T1117  A      
7737001260012 7.04622e+006         SINUTAB N-S X 12 EC P/COR                                              SINUTAB                        OTC UPPER RESPIRATORY          7702134462244    144 N     20161114T1117  A      
7737001260012 7.08002e+006         MYLANTA DOS X 145 TAB                                                  MYLANTA                        OTC                            7702035800169     25 N     20161114T1117  A      
7737001260012 7.10048e+006         SPLENDA 225 SOBRES DE 1 G PARA VENEZUELA                               SPLENDA                        SPLENDA                        7501007500102     12 N     20161114T1117  A      
7737001260012 7.50052e+006         C&C LIMP.EXFOL.P.NEGROS 12X80                                          CLEAN & CLEAR                  BEAUTY                         7891010008697     12 N     20161114T1117  A      
7737001260012 7.50136e+006         NEU CLEAN ACOND C.NOR 6X300ML                                          NEUTROGENA                     BEAUTY                           70501027509      6 N     20161114T1117  A      
7737001260012 7.50171e+006         NEU ESP.P/ACNE 200ML                                                   NEUTROGENA                     BEAUTY                           70501017104      6 N     20161114T1117  A      
7737001260012 7.50263e+006         SUNDOWN BLQ FPS50 TIN 12X120ML                                         SUNDOWN                        BEAUTY                         7702031312277     12 N     20161114T1117  A      
7737001260012 7.50272e+006         J'S PROTECTOR DE SENOS 12X12'S                                         JOHNSON´S                      BABY TOILETRIES                7891010101688     12 N     20161114T1117  A      
7737001260012 7.50391e+006         C&C JABON FAC.PUNTOS N.12X80                                           CLEAN & CLEAR                  BEAUTY                         7891010692292     12 N     20161114T1117  A      
7737001260012 7.50455e+006         REACH* CEP CON/CLEAN MEDIO X12                                         JOHNSON'S                      ORAL TOOTHBRUSHES               810508000514     12 N     20161114T1117  A      
7737001260012 7.55001e+006         CEPILLO REACH ACCESS 12X2                                              REACH                          ORAL CARE                      7891010500115     12 N     20161114T1117  A      
7737001260012 7.55057e+006         C&C ADVANTAGE GEL 12X15GR                                              CLEAN & CLEAR                  BEAUTY                         7891010505684     12 N     20161114T1117  A      
7737001260012 7.56901e+006         NEUT HIDR  FACIAL PELE NORMAL 6 X 55G                                  NEUTROGENA                     BEAUTY                         7891010690120      6 N     20161114T1117  A      
7737001260012 7.56901e+006         NEUT HIDR  FACIAL PELE NORMAL 6 X 55G                                  NEUTROGENA                     BEAUTY                         7891010690137      6 N     20161114T1117  A      
7737001260012 7.56902e+006         REACH* CEP ESSENTIAL JRX12                                             JOHNSON'S                      ORAL TOOTHBRUSHES              7891010504038     12 N     20161114T1117  A      
7737001260012 7.56926e+006         REACH* HILO REG C/CERA 24X50M                                          JOHNSON'S                      ORAL FLOSS                     7891010038892     24 N     20161114T1117  A      
7737001260012 7.56966e+006         ESC J&J R ESSENCIAL PQ DURA 12UN EXP                                   JOHNSON'S                      ORAL TOOTHBRUSHES              7891010696634     12 N     20161114T1117  A      
7737001260012 7.56973e+006         PR ESC R COMFORT CLEAN GR MD L2P1 12UN                                 OFERTAS                        ORAL TOOTHBRUSHES              7891010697266     12 N     20161114T1117  A      
7737001260012 7.56984e+006         C&C ASTRING PTO NEGR 12X200ML                                          CLEAN & CLEAR                  BEAUTY                         7891010011048     12 N     20161114T1117  A      
7737001260012 7.57009e+006         SUND GOLD OLEO BRONZ FPS4 12X125ML                                     SUNDOWN                        SUNCARE                        7891010505141     12 N     20161114T1117  A      
7737001260012 7.57011e+006         SUND KIDS BLOQ SOL FPS60 12X120 ML - EX                                SUNDOWN                        SUNCARE                        7891010026264     12 N     20161114T1117  A      
7737001260012 7.5701e+006          SUND GOLD LOC MOD SOLAR FPS8 12X120ML                                  SUNDOWN                        SUNCARE                        7891010505134     12 N     20161114T1117  A      
7737001260012 7.57035e+006         SUND KIDS BLOQ SOL FPS60 12X120 ML - EX                                SUNDOWN                        BEAUTY                         7891010026264     12 N     20161114T1117  A      
7737001260012 7.57135e+006         HASTES FLEX COTONETES* POTE 30X150H                                    JOHNSON'S BABY                 COTTON SWABS                   7891010032937     30 N     20091106T1521  A      
7737001260012 7.57175e+006         REACH* CEP ESSENTIAL MEDIOX12                                          JOHNSON'S                      ORAL TOOTHBRUSHES              7891010501211     12 N     20161114T1117  A      
7737001260012 7.57756e+006         ESC REACH ONE ULTIMATE CLEAN 12UN                                      JOHNSON'S                      ORAL TOOTHBRUSHES              7891010775629     12 N     20161114T1117  A      
7737001260012 7.57778e+006         HASTES COTONETES 30X150 PR L150P100 EXP                                JOHNSON'S BABY                 COTTON SWABS                   7891010039110     30 N     20161114T1117  A      
7737001260012 7.5779e+006          CAREFREE BRISA LLEVE 150 PAGUE 120                                     CAREFREE                       SANPRO INTERMENSTRUAL          7702031503361     12 N     20110111T1154  A      
7737001260012 7.5782e+006          K-Y GEL LUBRICANTE 12X100G                                             K-Y                            K-Y WOMEN HEALTH               7891010005047     12 N     20161114T1117  A      
7737001260012 7.57856e+006         PROT CAREF ORIG C/PERF E-ECON 20X60UN                                  CAREFREE                       SANPRO INTERMENSTRUAL          7891010785581     20 N     20161114T1117  A      
7737001260012 7.59421e+006         S.LIBRE ALAS DRY MAX 36X8                                              SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890557     48 N     20161114T1117  A      
7737001260012 7.60074e+006         ESC J&J REACH ACCESS GR DR 12 UN EXP                                   REACH                          ORAL CARE                      7891010038670     12 N     20161114T1117  A      
7737001260012 7.6086e+006          JB SHAMPOO ORIGIN DISP 6X24X10                                         JOHNSON'S BABY                 BABY TOILETRIES                7750021585927      6 N     20161114T1117  A      
7737001260012 7.7027e+006          NEU ALCOH FREE TONER 12X250ML                                          NEUTROGENA                     BEAUTY                           70501027004     12 N     20161114T1117  A      
7737001260012 7.70281e+006         NEU FRESH FOAM CLEAN 12X200ML                                          NEUTROGENA                     BEAUTY                           70501028100     12 N     20161114T1117  A      
7737001260012 7.70612e+006         NEU H. SK ANTIW SPF15 12X1.4OZ                                         NEUTROGENA                     BEAUTY                           70501061206     12 N     20161114T1117  A      
7737001260012 7015074              AGAROL VAINILLA X 240 ML CA                                            AGAROL                         OTC GASTRO INTESTINAL          7702134103307     24 N     20090709T1231  A      
7737001260012 7017212              SINUTAB BEBIDA X 25                                                    SINUTAB                        OTC UPPER RESPIRATORY          7702035372154     12 N     20080516T0955  A      
7737001260012 7033641              BENADREX JARABE X 150 ML                                               BENADREX                       WW OTC                         7501057005749     24 N     20121012T1232  A      
7737001260012 7033657              BENADRYL E JARABE X 150 ML                                             BENADRYL                       WW OTC                         7501057005732     24 N     20121012T1232  A      
7737001260012 70414                NEU DEEP CLEAN JABON 12X80G                                            NEUTROGENA                     BEAUTY                         7891010099725     12 N     20161114T1117  A      
7737001260012 70414                NEU DEEP CLEAN JABON 12X80G                                            NEUTROGENA                     BEAUTY                         7891010099725     20 N     20161114T1117  A      
7737001260012 7046217              SINUTAB N-S X 12 EC P/COR                                              SINUTAB                        OTC UPPER RESPIRATORY          7702134374202    144 N     20140127T0926  A      
7737001260012 7046224              SINUTAB FORTE 144 X 12                                                 SINUTAB                        OTC UPPER RESPIRATORY          7702134462244    144 N     20090709T1231  A      
7737001260012 7080016              MYLANTA DOS X 145 TAB                                                  MYLANTA                        OTC                            7702035800169     25 N     20120924T1516  A      
7737001260012 7100478              SPLENDA 225 SOBRES DE 1 G PARA VENEZUELA                               SPLENDA                        SPLENDA                        7501007500102     12 N     20090130T1958  A      
7737001260012 71389                C&C ADSTR ENERGIZANTE 12X200ML BIL                                     CLEAN & CLEAR                  BEAUTY                         7891010713898     12 N     20081207T1525  A      
7737001260012 71390                C&C HIDR ILUM MORNING ENERGY 12X50GR BIL                               CLEAN & CLEAR                  BEAUTY                         7891010713904     12 N     20081207T1525  A      
7737001260012 71411                C&C GEL LIMP FACIAL ENERGIZANTE 12X100GR                               CLEAN & CLEAR                  BEAUTY                         7891010714116     12 N     20081207T1525  A      
