GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001070017 100032               SCOTT GOURMET R COC 8X3X50UN                                           GOURMET                        KIMBERLY                       7798038155689      8 N     20041223T1704  D      
7737001070017 158526               SEDAL CR TRAT SOS CERAMIDAS 6X450GR                                    SEDAL                          PERSONAL CARE                  7898422748265      6 N     20070508T1713  D      
7737001070017 158635               REXONA DEO AER AP CRYSTAL VIOLET 12X105G                               REXONA.                        PERSONAL CARE                  7791293992150     12 N     20061221T1423  D      
7737001070017 158636               REXONA DEO AER AP CRYSTAL TELAS12X105GR                                REXONA.                        PERSONAL CARE                  7791293992143     12 N     20061221T1423  D      
7737001070017 158639               IMPULSE DEO AER SIREN 12X53GR                                          IMPULSE                        PERSONAL CARE                  7791293992167     12 N     20070202T1724  A      
7737001070017 158642               IMPULSE DEO AER GODDESS 12X53GR                                        IMPULSE                        PERSONAL CARE                  7791293992174     12 N     20070202T1724  A      
7737001070017 158674               DOVE DEO STICK INVISIBLE DRY 12X50GR                                   DOVE                           PERSONAL CARE                       75024765     12 N     20070604T1015  D      
7737001070017 158680               DOVE CR AUTOBR SUMMER T MOR OSC 12X200ML                               DOVE                           PERSONAL CARE                  7898422748647     12 N     20070302T1801  A      
7737001070017 159749               IMPULSE DEO AER MUSK 12X103GR                                          IMPULSE                        PERSONAL CARE                  7791293208886     12 N     20070129T1033  A      
7737001070017 159753               IMPULSE DEO AER DYNAMIQUE 12X103GR                                     IMPULSE                        PERSONAL CARE                  7791293208893     12 N     20070129T1033  A      
7737001070017 159982               DAYS TOALLA FEM UPROT NORM E S C/ALA48X8                               DAYS                           KIMBERLY                       7793620923363     48 N     20061127T1016  D      
7737001070017 159985               DAYS TOALLA FEM UPROT NORM S S C/ALA48X8                               DAYS                           KIMBERLY                       7793620923455     48 N     20061127T1016  D      
7737001070017 160005               DAYS TOALLA FEM NOCTUR NORM ES C/ALA40X8                               DAYS                           KIMBERLY                       7793620923516     40 N     20061127T1016  D      
7737001070017 160014               CIF POWER CREAM BANO DOYP 12X500ML                                     CIF                            HOME CARE                      7791290782327     12 N     20070202T1724  A      
7737001070017 160016               DAYS TOALLA FEM SENS UF ES C/ALA 40X8UN                                DAYS                           KIMBERLY                       7793620923424     40 N     20061127T1016  D      
7737001070017 160019               DAYS TOALLA FEM SENS NORM E S C/ALA 48X8                               DAYS                           KIMBERLY                       7793620923431     48 N     20061127T1016  D      
7737001070017 160025               CIF POWER CREAM COCINA DOYP 12X500ML                                   CIF                            HOME CARE                      7791290782341     12 N     20070202T1724  A      
7737001070017 160030               DAYS TOALLA FEM TEEN NORM E S C/ALA 48X8                               DAYS                           KIMBERLY                       7793620923530     48 N     20061127T1016  D      
7737001070017 160031               DOVE CR AUTOBR SUMMER T BCA CLARA12X200M                               DOVE                           PERSONAL CARE                  7898422748692     12 N     20070302T1801  A      
7737001070017 160034               DAYS TOALLA FEM ESENC NORM E S C/ALA48X8                               DAYS                           KIMBERLY                       7793620923394     48 N     20061127T1016  D      
7737001070017 160035               DAYS TOALLA FEM ESE NOR ES ALC C/A 24X16                               DAYS                           KIMBERLY                       7793620923400     24 N     20061106T1121  D      
7737001070017 160038               DAYS TOALLA FEM ESENC NORM E S S/ALA48X8                               DAYS                           KIMBERLY                       7793620923417     48 N     20061106T1121  D      
7737001070017 160046               CIF POWER CREAM COCINA GTL 12X500ML                                    CIF                            HOME CARE                      7791290782334     12 N     20070202T1724  A      
7737001070017 160047               KOTEX DAYS TOALLA FEM SEN NOR C/A 24X16                                DAYS                           KIMBERLY                       7793620923448     24 N     20061127T1016  D      
7737001070017 160050               CIF POWER CREAM BANO GTL 12X500ML                                      CIF                            HOME CARE                      7791290782310     12 N     20070202T1724  A      
7737001070017 160322               NEVEX M C/TOQ VIVERE VIOL FL BCA 24X400G                               NEVEX                          HOME CARE                      7791290782631     24 N     20070604T1015  A      
7737001070017 160323               NEVEX M C/TOQ VIVERE VIOL FL BCA 24X800G                               NEVEX                          HOME CARE                      7791290782624     24 N     20070604T1015  A      
7737001070017 160324               NEVEX REG TOQ VIVERE VIOL FL BCA 24X800G                               NEVEX                          HOME CARE                      7791290782617     24 N     20070604T1015  A      
7737001070017 160383               REXONA DEO STICK AP V8 12X50GR                                         REXONA.                        PERSONAL CARE                       75024956     12 N     20070322T1505  D      
7737001070017 160903               NEVEX MATIC VIOL 16X800GR+VIVERE 100ML                                 NEVEX                          HOME CARE                      7730165320585     16 S     20070604T1015  D      
7737001070017 161853               SKIP LIQ CONC 12X270ML                                                 SKIP                           HOME CARE                      7791290782587     12 N     20070302T1801  A      
7737001070017 161876               SKIP LIQ CONC 12X500ML                                                 SKIP                           HOME CARE                      7791290782594     12 N     20070302T1801  A      
7737001070017 162408               REXONA DEO ROLLON V8 12X53GR/50ML                                      REXONA.                        PERSONAL CARE                       78921993     12 N     20070322T1505  D      
7737001070017 162448               SKIP LIQ CONC 12X1LT                                                   SKIP                           HOME CARE                      7791290782600     12 N     20070302T1801  A      
7737001070017 163079               NEVEX MATIC POLVO BABY 24X800GR                                        NEVEX                          HOME CARE                      7791290782730     24 N     20070402T1634  D      
7737001070017 163243               AXE GEL DUCHA CLICK 12X250ML/258GR                                     AXE                            PERSONAL CARE                  7791293021355     12 N     20070508T1713  A      
7737001070017 163250               AXE GEL DUCHA VICE 12X250ML/258GR                                      AXE                            PERSONAL CARE                  7791293021362     12 N     20070508T1713  A      
7737001070017 163252               AXE GEL DUCHA TOUCH 12X250ML/258GR                                     AXE                            PERSONAL CARE                  7791293021379     12 N     20070508T1713  A      
7737001070017 163255               AXE GEL DUCHA MARINE 12X250ML/258GR                                    AXE                            PERSONAL CARE                  7791293021386     12 N     20070508T1713  A      
7737001070017 163260               SUAVE JAB ALOE VERA 60X150GR                                           SUAVE                          PERSONAL CARE                  7791293028521     60 N     20070604T1015  D      
7737001070017 163264               SUAVE JAB MIEL 60X150GR                                                SUAVE                          PERSONAL CARE                  7791293028538     60 N     20070604T1015  D      
7737001070017 163267               SUAVE JAB ACEITE ALMENDRAS 60X150GR                                    SUAVE                          PERSONAL CARE                  7791293028545     60 N     20070604T1015  D      
7737001070017 163277               SUAVE JAB ACEITE ALMENDRAS 35X3X90GR                                   SUAVE                          PERSONAL CARE                  7791293028583     35 N     20070604T1015  D      
7737001070017 163278               SUAVE JAB VARIEDADES 35X3X90GR                                         SUAVE                          PERSONAL CARE                  7791293028590     35 N     20070604T1015  D      
7737001070017 163860               DOVE AC RIZOS 6X400ML PRM CEPILLO                                      DOVE                           PERSONAL CARE                  7730165320882      6 S     20061229T1805  D      
7737001070017 163989               REXONA DEO AER AP WOMEN SENS NEUT12X105G                               REXONA.                        PERSONAL CARE                  7791293999791     12 N     20070703T1008  D      
7737001070017 164001               REXONA DEO AER AP WOMEN SENS CR 12X105GR                               REXONA.                        PERSONAL CARE                  7791293999784     12 N     20070622T1723  D      
7737001070017 164015               REXONA DEO AER AP WOMEN CRYSTAL 12X105GR                               REXONA.                        PERSONAL CARE                  7791293006420     12 N     20070622T1723  A      
7737001070017 164021               REXONA DEO AER AP WOMEN CITRUS 12X105GR                                REXONA.                        PERSONAL CARE                  7791293004020     12 N     20070622T1723  A      
7737001070017 164024               REXONA DEO AER AP WOMEN BAMBOO 12X105GR                                REXONA.                        PERSONAL CARE                  7791293884592     12 N     20070703T1008  A      
7737001070017 164042               REXONA DEO AER AP B ACT SPORTFAN12X105GR                               REXONA.                        PERSONAL CARE                  7791293006635     12 N     20070703T1008  D      
7737001070017 164048               REXONA DEO AER AP MEN B ACT COB 12X105GR                               REXONA.                        PERSONAL CARE                  7791293884585     12 N     20070703T1008  D      
7737001070017 164053               REXONA DEO AER AP B ACT SENSIT 12X105GR                                REXONA.                        PERSONAL CARE                  7791293001425     12 N     20070703T1008  D      
7737001070017 164061               REXONA DEO AER WOMEN MUSK 12X113GR                                     REXONA.                        PERSONAL CARE                  7791293999401     12 N     20070703T1008  D      
7737001070017 164065               REXONA DEO AER WOMEN FRESH 12X113GR                                    REXONA.                        PERSONAL CARE                  7791293000916     12 N     20070703T1008  D      
7737001070017 164069               REXONA DEO AER MEN FRESH MAXIMUS12X113GR                               REXONA.                        PERSONAL CARE                  7791293004266     12 N     20070703T1008  D      
7737001070017 164076               REXONA DEO AER MEN FRESH COBALT 12X113GR                               REXONA.                        PERSONAL CARE                  7791293000121     12 N     20070703T1008  D      
7737001070017 164128               REXONA DEO AER AP WOMEN INTENSE 12X105GR                               REXONA.                        PERSONAL CARE                  7791293974224     12 N     20070703T1008  A      
7737001070017 164129               REXONA DEO AER MEN B ACT POWER 12X105GR                                REXONA.                        PERSONAL CARE                  7791293974217     12 N     20070731T1441  D      
7737001070017 164131               REXONA EFFICIENT AER 12X102GR                                          EFFICIENT                      PERSONAL CARE                  7791293895062     12 N     20070703T1008  A      
7737001070017 164448               DOVE AC CONTROL QUEDA THERAPY 12X250ML                                 DOVE                           PERSONAL CARE                  7898422747923     12 N     20080225T1456  A      
7737001070017 164449               DOVE AC CONTROL QUEDA THERAPY 12X400ML                                 DOVE                           PERSONAL CARE                  7898422749156     12 N     20080225T1456  A      
7737001070017 164459               DOVE MASC TRAT CONTR CAIDA THER 12X250ML                               DOVE                           PERSONAL CARE                  7898422747947     12 N     20080225T1456  A      
7737001070017 164467               DOVE SH CONTROL CAIDA THERAPY 12X400ML                                 DOVE                           PERSONAL CARE                  7898422749163     12 N     20080225T1456  A      
7737001070017 164473               DOVE SH CONTROL QUEDA THERAPY 12X250ML                                 DOVE                           PERSONAL CARE                  7898422747916     12 N     20080225T1456  A      
7737001070017 164643               REXONA DEO ROLLON INTENSE 12X53GR/50ML                                 REXONA.                        PERSONAL CARE                       78922099     12 N     20080430T1319  D      
7737001070017 164648               REXONA DEO ROL FOR MAN POWER12X53GR/50ML                               REXONA.                        PERSONAL CARE                       78922082     12 N     20070731T1441  D      
7737001070017 164961               HUGGIES CLASSIC WAVE PEQ 16X14UN                                       HUGGIES                        KIMBERLY                       7794626923050     16 N     20070223T1650  A      
7737001070017 164963               HUGGIES CLASSIC WAVE MED 15X12UN                                       HUGGIES                        KIMBERLY                       7794626923067     15 N     20070223T1650  A      
7737001070017 164965               HUGGIES CLASSIC WAVE GDE 10X10UN                                       HUGGIES                        KIMBERLY                       7794626923074     10 N     20070223T1650  A      
7737001070017 164966               HUGGIES CLASSIC WAVE XGDE 16X8UN                                       HUGGIES                        KIMBERLY                       7794626923081     16 N     20070223T1650  A      
7737001070017 164967               HUGGIES CLASSIC WAVE XXGDE 16X8UN                                      HUGGIES                        KIMBERLY                       7794626923098     16 N     20070223T1650  S      
7737001070017 164969               HUGGIES CLASSIC WAVE MED 10X18UN                                       HUGGIES                        KIMBERLY                       7794626923111     10 N     20070223T1650  D      
7737001070017 164971               HUGGIES CLASSIC WAVE GDE 10X16UN                                       HUGGIES                        KIMBERLY                       7794626923128     10 N     20070223T1650  D      
7737001070017 164973               HUGGIES CLASSIC WAVE XGDE 16X14UN                                      HUGGIES                        KIMBERLY                       7794626923135     16 N     20070531T1257  D      
7737001070017 164976               HUGGIES CLASSIC WAVE XXGDE16X14UN                                      HUGGIES                        KIMBERLY                       7794626923142     16 N     20070223T1650  D      
7737001070017 164980               HUGGIES CLASSIC WAVE PEQ 5X40UN                                        HUGGIES                        KIMBERLY                       7794626923159      5 N     20070223T1650  A      
7737001070017 164982               HUGGIES CLASSIC WAVE MED 5X36UN                                        HUGGIES                        KIMBERLY                       7794626923166      5 N     20070223T1650  A      
7737001070017 164983               HUGGIES CLASSIC WAVE GDE 5X30UN                                        HUGGIES                        KIMBERLY                       7794626923173      5 N     20070223T1650  A      
7737001070017 164985               HUGGIES CLASSIC WAVE XGDE 10X24UN                                      HUGGIES                        KIMBERLY                       7794626923180     10 N     20070223T1650  A      
7737001070017 164986               HUGGIES CLASSIC WAVE XXGDE 10X24UN                                     HUGGIES                        KIMBERLY                       7794626923197     10 N     20070223T1650  A      
7737001070017 165334               PLENITUD PANALES ADULTO CLAS GDE 14X7UN                                PLENITUD                       KIMBERLY                       7794626910456     14 N     20070402T1634  D      
7737001070017 165340               PLENITUD PANALES ADULTO CLAS MED 14X7UN                                PLENITUD                       KIMBERLY                       7794626910432     14 N     20070402T1634  D      
7737001070017 165554               VIVERE SUAVIZ LIRIO BAMBU DOYP 12X900ML                                VIVERE                         HOME CARE                      7791290782778     12 N     20070402T1634  D      
7737001070017 165593               VIVERE VIOLETAS &FLORES BLANCAS 12X900ML                               VIVERE                         HOME CARE                      7791290782785     12 N     20070402T1634  D      
7737001070017 165595               VIVERE BOUQUET FLORES SILVESTRES 12X900M                               VIVERE                         HOME CARE                      7791290782754     12 N     20070402T1634  D      
7737001070017 165604               VIVERE AROMA FRUTOS DEL BOSQUE12X900ML                                 VIVERE                         HOME CARE                      7791290782761     12 N     20070402T1634  D      
7737001070017 165607               SKIP POLVO REGULAR 6X3KG PRM 20% DESC                                  SKIP                           HOME CARE                      7730165321155      6 S     20070205T1830  D      
7737001070017 165614               HUGGIES PULL UPS UNISEX GDE 6X12UN                                     HUGGIES                        KIMBERLY                       7809604012074      6 N     20070208T1619  A      
7737001070017 165662               HUGGIES PULL UPS UNISEX XGDE 6X10UN                                    HUGGIES                        KIMBERLY                       7809604012043      6 N     20070208T1619  A      
7737001070017 165668               HUGGIES PULL UPS UNISEX XXGDE 6X8UN                                    HUGGIES                        KIMBERLY                       7809604012050      6 N     20070208T1619  A      
7737001070017 165978               AXE DEO AER TOUCH 12X113GR                                             AXE                            PERSONAL CARE                  7791293001227     12 N     20070703T1008  D      
7737001070017 165980               AXE DEO AER AP VICE 12X90GR/152ML                                      AXE                            PERSONAL CARE                  7791293009179     12 N     20070703T1008  A      
7737001070017 165981               AXE DEO AER AP TOUCH 12X90GR/152ML                                     AXE                            PERSONAL CARE                  7791293001234     12 N     20070703T1008  D      
7737001070017 165983               AXE DEO AER AP CONVICTION 12X90GR/152ML                                AXE                            PERSONAL CARE                  7791293999715     12 N     20070703T1008  D      
7737001070017 165984               AXE DEO AER AP CLICK 12X90GR/152ML                                     AXE                            PERSONAL CARE                  7791293005584     12 N     20070703T1008  D      
7737001070017 165989               AXE DEO AER MUSK 12X113GR/160ML                                        AXE                            PERSONAL CARE                  7791293022130     12 N     20070703T1008  A      
7737001070017 165990               AXE DEO AER MARINE 12X113GR/160ML                                      AXE                            PERSONAL CARE                  7791293022437     12 N     20070703T1008  A      
7737001070017 165992               AXE DEO AER FUSION 12X113GR/160ML                                      AXE                            PERSONAL CARE                  7791293028187     12 N     20070703T1008  A      
7737001070017 165995               AXE DEO AER CONVICTION 12X113GR/160ML                                  AXE                            PERSONAL CARE                  7791293127767     12 N     20070703T1008  D      
7737001070017 165997               AXE DEO AER CLICK 12X113GR/160ML                                       AXE                            PERSONAL CARE                  7791293005577     12 N     20070703T1008  A      
7737001070017 165999               AXE DEO AER BODYSPRAY VICE 12X113GR                                    AXE                            PERSONAL CARE                  7791293009193     12 N     20070703T1008  A      
7737001070017 166178               SEDAL SH SOS CERAMIDAS 12X200ML                                        SEDAL                          PERSONAL CARE                  7791293019833     12 N     20070508T1713  D      
7737001070017 166179               SEDAL SH SOS CERAMIDAS 12X350ML                                        SEDAL                          PERSONAL CARE                  7791293019819     12 N     20070508T1713  D      
7737001070017 166183               SEDAL AC SOS CERAMIDAS 12X200ML                                        SEDAL                          PERSONAL CARE                  7791293019840     12 N     20070508T1713  D      
7737001070017 166184               SEDAL AC SOS CERAMIDAS 12X350ML                                        SEDAL                          PERSONAL CARE                  7791293019826     12 N     20070508T1713  D      
7737001070017 166257               SEDAL AC SOS CERAMIDAS 12X300ML                                        SEDAL                          PERSONAL CARE                  7791293019888     12 N     20070508T1713  D      
7737001070017 166260               SEDAL SH SOS CERAMIDAS 12X300ML                                        SEDAL                          PERSONAL CARE                  7791293019871     12 N     20070508T1713  D      
7737001070017 166282               LUX JAB LIQ BRILLA 12X250ML                                            LUX                            PERSONAL CARE                  7898422749347     12 N     20071001T1639  D      
7737001070017 166340               DOVE AC CACHOS THERAPY 12X250ML                                        DOVE                           PERSONAL CARE                  7898422744939     12 N     20071003T1446  A      
7737001070017 166341               DOVE AC DANO ACUMULADO THERAPY 12X250ML                                DOVE                           PERSONAL CARE                  7891037013582     12 N     20070808T1506  A      
7737001070017 166342               DOVE SH DANO ACUMULADO THERAPY 12X250ML                                DOVE                           PERSONAL CARE                  7891037013551     12 N     20070808T1506  A      
7737001070017 166343               DOVE MASC TRAT COL THER DESCOL 12X250ML                                DOVE                           PERSONAL CARE                  7898422742669     12 N     20070912T1645  A      
7737001070017 166344               DOVE SH HIDRO THERAPY 12X250ML                                         DOVE                           PERSONAL CARE                  7891037013544     12 N     20070808T1506  A      
7737001070017 166345               DOVE SH CACHOS THERAPY 12X250ML                                        DOVE                           PERSONAL CARE                  7898422744946     12 N     20071001T1639  A      
7737001070017 166347               DOVE SH COLOR THER CAB ACLARADO 12X250ML                               DOVE                           PERSONAL CARE                  7898422742560     12 N     20070912T1645  A      
7737001070017 166348               DOVE AC HIDRO THERAPY 12X250ML                                         DOVE                           PERSONAL CARE                  7891037013575     12 N     20070808T1506  A      
7737001070017 166349               DOVE CR PEINAR HIDRO THERAPY 12X215ML                                  DOVE                           PERSONAL CARE                  7891037013599     12 N     20070822T1003  A      
7737001070017 166350               DOVE CR PEINAR DANO ACUM THER 12X200ML                                 DOVE                           PERSONAL CARE                  7891037013629     12 N     20070912T1645  A      
7737001070017 166351               DOVE AC COLOR THER CAB ACLARADO 12X250ML                               DOVE                           PERSONAL CARE                  7898422742584     12 N     20071003T1446  A      
7737001070017 166352               DOVE CR PEINAR RIZOS THERAPY 12X200ML                                  DOVE                           PERSONAL CARE                  7898422744915     12 N     20071003T1446  A      
7737001070017 166536               DOVE MASC TRAT DANO ACUM THER 12X250ML                                 DOVE                           PERSONAL CARE                  7898422749064     12 N     20070822T1003  A      
7737001070017 166540               DOVE AC LISOS THERAPY 12X250ML                                         DOVE                           PERSONAL CARE                  7898422745288     12 N     20070822T1003  A      
7737001070017 166541               DOVE CR PEIN LISOS THERAPY 12X200ML                                    DOVE                           PERSONAL CARE                  7898422745295     12 N     20071003T1446  A      
7737001070017 166548               DOVE SH LISOS THERAPY 12X250ML                                         DOVE                           PERSONAL CARE                  7898422745264     12 N     20070808T1506  A      
7737001070017 166555               DOVE AC COLOR THERAPY TENIDO 12X250ML                                  DOVE                           PERSONAL CARE                  7898422742706     12 N     20070822T1003  A      
7737001070017 166557               DOVE MASC TRAT COLOR THER TENI 12X250ML                                DOVE                           PERSONAL CARE                  7898422742676     12 N     20070912T1645  A      
7737001070017 166558               DOVE SH COLOR THERAPY TENIDOS 12X250ML                                 DOVE                           PERSONAL CARE                  7898422742577     12 N     20071001T1639  A      
7737001070017 166575               DOVE AC RIZOS THERAPY 12X400ML                                         DOVE                           PERSONAL CARE                  7791293006857     12 N     20071003T1446  A      
7737001070017 166591               REXONA DEO STICK POWER 12X50GR                                         REXONA.                        PERSONAL CARE                       75025274     12 N     20070731T1441  D      
7737001070017 166594               REXONA DEO STICK INTENSE 12X50GR                                       REXONA.                        PERSONAL CARE                       75025267     12 N     20071001T1639  A      
7737001070017 166639               DOVE SH RIZOS THERAPY 12X400ML                                         DOVE                           PERSONAL CARE                  7791293006840     12 N     20071003T1446  A      
7737001070017 166640               DOVE SH DANO ACUM THERAPY 12X400ML                                     DOVE                           PERSONAL CARE                  7791293005010     12 N     20070822T1003  A      
7737001070017 166642               DOVE AC DANO ACUM THERAPY 12X400ML                                     DOVE                           PERSONAL CARE                  7791293004976     12 N     20071003T1446  A      
7737001070017 166644               DOVE AC HIDRO THERAPY 12X400ML                                         DOVE                           PERSONAL CARE                  7791293004983     12 N     20070822T1003  A      
7737001070017 166645               DOVE SH HIDRO THERAPY 12X400ML                                         DOVE                           PERSONAL CARE                  7791293005027     12 N     20071003T1446  A      
7737001070017 166646               DOVE AC LISO THERAPY 12X400ML                                          DOVE                           PERSONAL CARE                  7791293006819     12 N     20071003T1446  A      
7737001070017 166651               DOVE SH LISO THERAPY 12X400ML                                          DOVE                           PERSONAL CARE                  7791293006802     12 N     20071003T1446  A      
7737001070017 167973               REXONA JAB PURE FRESH 72X125GR                                         REXONA.                        PERSONAL CARE                  7791293990132     72 N     20070808T1506  A      
7737001070017 167974               REXONA JAB V8 72X125GR                                                 REXONA.                        PERSONAL CARE                  7791293990330     72 N     20070731T1441  A      
7737001070017 167978               REXONA JAB CITRUS 72X125GR                                             REXONA.                        PERSONAL CARE                  7791293990286     72 N     20070731T1441  D      
7737001070017 168068               REXONA JAB PURE FRESH 24X3X125GR                                       REXONA.                        PERSONAL CARE                  7791293990163     24 N     20070808T1506  A      
7737001070017 168070               REXONA JAB V8 24X3X125GR                                               REXONA.                        PERSONAL CARE                  7791293990361     24 N     20070731T1441  A      
7737001070017 168071               REXONA JAB CITRUS 24X3X125GR                                           REXONA.                        PERSONAL CARE                  7791293990316     24 N     20070731T1441  D      
7737001070017 168647               REXONA DEO AER AP WOMEN HAPPY 12X135ML                                 REXONA.                        PERSONAL CARE                  7791293995588     12 N     20071001T1639  A      
7737001070017 168648               REXONA DEO AER AP WOMEN SHINY 12X135ML                                 REXONA.                        PERSONAL CARE                  7791293995595     12 N     20071001T1639  A      
7737001070017 168654               REXONA DEO AER AP WOMEN SEXY 12X135ML                                  REXONA.                        PERSONAL CARE                  7791293995571     12 N     20071001T1639  A      
7737001070017 168927               LIGHTDAYS P D MFORMA S/PERF DERM 48X20UN                               DAYS                           KIMBERLY                       7793620923578     48 N     20070514T1720  D      
7737001070017 168932               LIGHTDAYS P D MFORMA S/PERF DERM12X120UN                               DAYS                           KIMBERLY                       7793620923585     12 N     20070514T1720  D      
7737001070017 168933               LIGHTDAYS P D MFORMA C/PERF DERM 48X20UN                               DAYS                           KIMBERLY                       7793620923592     48 N     20070514T1720  D      
7737001070017 168936               LIGHTDAYS P D MFORMA C/ALAS DERM 48X20UN                               DAYS                           KIMBERLY                       7793620923608     48 N     20070514T1720  D      
7737001070017 168941               LIGHTDAYS P D CLASSIC DERM 15X80UN                                     DAYS                           KIMBERLY                       7793620923646     15 N     20070514T1720  D      
7737001070017 168943               LIGHTDAYS P D SENSITIVE DERM 15X80UN                                   DAYS                           KIMBERLY                       7793620923653     15 N     20070514T1720  D      
7737001070017 168944               LIGHTDAYS P D CLASSIC DERM 48X20UN                                     DAYS                           KIMBERLY                       7793620923615     48 N     20070514T1720  D      
7737001070017 168946               LIGHTDAYS P D SENSITIVE DERM 48X20UN                                   DAYS                           KIMBERLY                       7793620923622     48 N     20070514T1720  D      
7737001070017 169019               SCOTT PAPEL HIG SHJ EXTR ALG 30MT 8X6UN                                SCOTT                          KIMBERLY                       7798038157447      8 N     20070425T1507  A      
7737001070017 169021               SCOTT PAPEL HIG SHJ EXTR ALG 30MT 4X12UN                               SCOTT                          KIMBERLY                       7798038157461      4 N     20070425T1507  A      
7737001070017 169022               SCOTT PAPEL HIG 30MT SHJ EXTR ALG 12X4UN                               SCOTT                          KIMBERLY                       7798038157430     12 N     20070425T1507  A      
7737001070017 169023               SCOTT PAP HIG MEGA SHJ EXT ALG 90M12X4UN                               SCOTT                          KIMBERLY                       7798038157485     12 N     20070425T1507  A      
7737001070017 169026               SCOTT P H PLUS MEGA DOB HOJA50M 12X4+ABS                               SCOTT                          KIMBERLY                       7798038157492     12 N     20070425T1507  S      
7737001070017 169031               SCOTT P H PLUS DOB HOJA 20MT 12X4UN+ABS                                SCOTT                          KIMBERLY                       7798038157515     12 N     20070425T1507  S      
7737001070017 169224               NEVEX LV VAJ PODER NATURALEZA 15X750ML                                 HURRA                          HOME CARE                      7730165319183     15 N     20070703T1008  A      
7737001070017 169226               NEVEX LV VAJ ALOE VERA 15X750ML                                        HURRA                          HOME CARE                      7730165317486     15 N     20070703T1008  A      
7737001070017 169227               NEVEX LV VAJ LIMON 15X750ML                                            HURRA                          HOME CARE                      7730165317479     15 N     20070615T1100  A      
7737001070017 169228               NEVEX LV VAJ LIMON 12X1250ML                                           HURRA                          HOME CARE                      7730165317424     12 N     20070703T1008  A      
7737001070017 169230               NEVEX LV VAJ ALOE VERA 12X1250ML                                       HURRA                          HOME CARE                      7730165317448     12 N     20070703T1008  A      
7737001070017 169231               NEVEX LV VAJ CLASICO 12X1250ML                                         HURRA                          HOME CARE                      7730165318087     12 N     20070703T1008  A      
7737001070017 169232               NEVEX LV VAJ COLAGENO GLIC 12X1250ML                                   HURRA                          HOME CARE                      7730165318094     12 N     20070703T1008  A      
7737001070017 169233               NEVEX LV VAJ PODER NATURALEZA 12X1250ML                                HURRA                          HOME CARE                      7730165319190     12 N     20070703T1008  A      
7737001070017 169234               NEVEX LV VAJ LIMON 6X2LT                                               HURRA                          HOME CARE                      7730165317493      6 N     20070703T1008  D      
7737001070017 169281               CIF POWER COCINA GTL 6X500ML+DPK 500ML                                 CIF                            HOME CARE                      7730165321575      6 S     20070508T1713  D      
7737001070017 169788               SUAVE SH PALTA Y OLIVA 8X930ML                                         SUAVE                          PERSONAL CARE                  7791293973173      8 N     20070831T1647  A      
7737001070017 169789               SUAVE SH MIEL Y ALMENDRAS 8X930ML                                      SUAVE                          PERSONAL CARE                  7791293973197      8 N     20070831T1647  A      
7737001070017 169790               SUAVE SH COCO Y LECHE 8X930ML                                          SUAVE                          PERSONAL CARE                  7791293973210      8 N     20070831T1647  A      
7737001070017 169792               SUAVE SH VAINILLA Y CANELA 8X930ML                                     SUAVE                          PERSONAL CARE                  7791293973234      8 N     20070831T1647  A      
7737001070017 169803               SUAVE AC PALTA Y OLIVA 8X930ML                                         SUAVE                          PERSONAL CARE                  7791293973180      8 N     20070831T1647  A      
7737001070017 169804               SUAVE AC MIEL Y ALMENDRAS 8X930ML                                      SUAVE                          PERSONAL CARE                  7791293973203      8 N     20070831T1647  A      
7737001070017 169806               SUAVE AC COCO Y LECHE 8X930ML                                          SUAVE                          PERSONAL CARE                  7791293973227      8 N     20070831T1647  A      
7737001070017 169810               SUAVE AC VAINILLA Y CANELA 8X930ML                                     SUAVE                          PERSONAL CARE                  7791293973241      8 N     20070831T1647  A      
7737001070017 169820               PATRICHS DEO AER AIR 12X105GR                                          PATRICHS                       PERSONAL CARE                  7791293689104     12 N     20070731T1441  D      
7737001070017 169822               PATRICHS DEO AER TERRA 12X105GR                                        PATRICHS                       PERSONAL CARE                  7791293689128     12 N     20070731T1441  D      
7737001070017 169824               PATRICHS DEO AER LUOMO 12X105GR                                        PATRICHS                       PERSONAL CARE                  7791293689111     12 N     20070731T1441  D      
7737001070017 169828               LUX JAB BRILLA 72X125GR                                                LUX                            PERSONAL CARE                  7791293983806     72 N     20071001T1639  D      
7737001070017 169829               LUX JAB EXFOLIACION DELICADA 72X125GR                                  LUX                            PERSONAL CARE                  7791293983851     72 N     20071031T1523  D      
7737001070017 169922               LUX JAB EXFOLIACION DELICADA 24X3X125GR                                LUX                            PERSONAL CARE                  7791293983899     24 N     20071031T1523  D      
7737001070017 169923               DOVE DEO AER AP PRO AGE 12X100GR                                       DOVE                           PERSONAL CARE                  7791293067049     12 N     20071031T1523  A      
7737001070017 170152               CIF POWER BANO GTL 6X500ML+ROLLO PAP HIG                               CIF                            HOME CARE                      7730165321612      6 S     20070508T1713  D      
7737001070017 170179               SKIP POLVO GLICERYN COMPLEX 24X800GR                                   SKIP                           HOME CARE                      7791290783089     24 N     20070703T1008  A      
7737001070017 170182               SKIP POLVO SISTEMA ULTRA BLACK 24X800GR                                SKIP                           HOME CARE                      7791290783133     24 N     20070703T1008  A      
